id,value,feed_id,created_at,lat,lon,ele
0DK25A49NW8XXQNE3MR3HJXFKC,858,676092,2017-05-15 20:46:47 UTC,,,
0DK25A7BBRZJJSY0YMGZ7P3MR1,863,676092,2017-05-15 20:46:57 UTC,,,
0DK25AAD08XKZDB6DNBA3R8RYT,854,676092,2017-05-15 20:47:07 UTC,,,
0DK25ADEND5D7GJKCMG53KGNR3,859,676092,2017-05-15 20:47:17 UTC,,,
0DK25AGGADQS132MJ9RSENK9BQ,855,676092,2017-05-15 20:47:27 UTC,,,
0DK25AKHYTRNFKQ5DYBC0GRJJ6,862,676092,2017-05-15 20:47:37 UTC,,,
0DK25APKMW06RAECKZMSPE7VZS,869,676092,2017-05-15 20:47:47 UTC,,,
0DK25ASN9TWN8B7ZFPXZFC22V2,862,676092,2017-05-15 20:47:57 UTC,,,
0DK25AWPYXFB4D1ZQY1ZW0T6PM,860,676092,2017-05-15 20:48:07 UTC,,,
0DK25AZRKY1GN5NAJGJC6W8VX9,860,676092,2017-05-15 20:48:17 UTC,,,
0DK25B2T9CFCV22G4F9NQRACSC,861,676092,2017-05-15 20:48:27 UTC,,,
0DK25B5VX1DDBRNTFMCPVV0R50,864,676092,2017-05-15 20:48:37 UTC,,,
0DK25B8XJQ3M4A1C55FTP6N7RN,862,676092,2017-05-15 20:48:47 UTC,,,
0DK25BBZ7C6J1AJFAECZBMS1QC,866,676092,2017-05-15 20:48:57 UTC,,,
0DK25BF0VX1NPP1SEYY7XJ8BXB,861,676092,2017-05-15 20:49:07 UTC,,,
0DK25BJ2J778XVMM05SJB4PYC6,860,676092,2017-05-15 20:49:17 UTC,,,
0DK25BN46VQF1S10E2WPCXJJGC,864,676092,2017-05-15 20:49:27 UTC,,,
0DK25BR5W29KWSGDFS113XZGK6,868,676092,2017-05-15 20:49:37 UTC,,,
0DK25BV7G2799G29HJK8D3CC8G,861,676092,2017-05-15 20:49:47 UTC,,,
0DK25BY9GCAX4FYH36X39BEEMQ,858,676092,2017-05-15 20:49:57 UTC,,,
0DK25C1AWYQRXCCYT2DSWVXZN3,864,676092,2017-05-15 20:50:07 UTC,,,
0DK25C4CFS83BASS6KY2S3T3AE,857,676092,2017-05-15 20:50:17 UTC,,,
0DK25C7E436V5PFXAW38SBM57F,860,676092,2017-05-15 20:50:27 UTC,,,
0DK25CAFT3FRMCDGFX4DT5V2JX,860,676092,2017-05-15 20:50:37 UTC,,,
0DK25CDHE4CWYM6GCXT957FFM6,860,676092,2017-05-15 20:50:47 UTC,,,
0DK25CGK41XTZTCG038XCF1CH8,862,676092,2017-05-15 20:50:57 UTC,,,
0DK25CKMR9F5SPZV5N5F0MS0AR,862,676092,2017-05-15 20:51:07 UTC,,,
0DK25CPPD9X227XHKQ3J1XCBER,857,676092,2017-05-15 20:51:17 UTC,,,
0DK25CSR2JQPSNQXZ0VP1TA4KX,861,676092,2017-05-15 20:51:27 UTC,,,
0DK25CWSQNAYXH2BMT9230RZ3C,859,676092,2017-05-15 20:51:37 UTC,,,
0DK25CZVD0EFH8M4XYBK8PV1RK,864,676092,2017-05-15 20:51:47 UTC,,,
0DK25D2X1GWRKRNW8GYKMNEN6F,859,676092,2017-05-15 20:51:57 UTC,,,
0DK25D5YP5D6W7Q2TXZJP29B2M,861,676092,2017-05-15 20:52:07 UTC,,,
0DK25D90BZVJ6BYRRPWR72N0P2,869,676092,2017-05-15 20:52:17 UTC,,,
0DK25DC21HD3XQXBKA97WR58F6,861,676092,2017-05-15 20:52:27 UTC,,,
0DK25DF3ND4T4X0T309DGMYDFP,856,676092,2017-05-15 20:52:37 UTC,,,
0DK25DJ5AAH0G4VG6AVK6ZD5WW,861,676092,2017-05-15 20:52:47 UTC,,,
0DK25DN6Z8QB670JA1HJZJ4N99,860,676092,2017-05-15 20:52:57 UTC,,,
0DK25DR8MZ7KM3RGW37EDWG0JE,859,676092,2017-05-15 20:53:07 UTC,,,
0DK25DVA9EB59K09Q63HN72QAD,857,676092,2017-05-15 20:53:17 UTC,,,
0DK25DYBY73SNJ099TQDSN6R80,863,676092,2017-05-15 20:53:27 UTC,,,
0DK25E1DKW260G1JQXKTXSPSEG,863,676092,2017-05-15 20:53:37 UTC,,,
0DK25E4FABJF40T3PEWSNKZDAD,864,676092,2017-05-15 20:53:47 UTC,,,
0DK25E7GXESPFVPKXSHEGSZGFP,859,676092,2017-05-15 20:53:57 UTC,,,
0DK25EAJJYBJN71FG5NFMSVJ84,860,676092,2017-05-15 20:54:07 UTC,,,
0DK25EDM7WMP7GMYJSFRDK0JK6,863,676092,2017-05-15 20:54:17 UTC,,,
0DK25EGNWBPM2K0AA0YAMHP84M,862,676092,2017-05-15 20:54:27 UTC,,,
0DK25EKQJAQDW460YFCVCR7SGW,859,676092,2017-05-15 20:54:37 UTC,,,
0DK25EPS65TPER7V4HHEB3HWD6,858,676092,2017-05-15 20:54:47 UTC,,,
0DK25ESTVYE5F39NMAWB3SSEHZ,862,676092,2017-05-15 20:54:57 UTC,,,
0DK25EWWG73CBPYY33X7ZMEFY2,862,676092,2017-05-15 20:55:07 UTC,,,
0DK25EZY5YVC8K7AJARSKQ6895,856,676092,2017-05-15 20:55:17 UTC,,,
0DK25F2ZV4DA84D822060FR36B,866,676092,2017-05-15 20:55:27 UTC,,,
0DK25F61FY1Y7V7JAANYGC9TYN,862,676092,2017-05-15 20:55:37 UTC,,,
0DK25F935472BQMD92C6Q7X14P,863,676092,2017-05-15 20:55:47 UTC,,,
0DK25FC4SFC20EVMZDXT98C859,858,676092,2017-05-15 20:55:57 UTC,,,
0DK25FF6EX9XKYQX21NCHJW8NW,858,676092,2017-05-15 20:56:07 UTC,,,
0DK25FJ8407DZXHPD6AVE62EA6,865,676092,2017-05-15 20:56:17 UTC,,,
0DK25FN9RFXTTEMXGSYX26NDYF,860,676092,2017-05-15 20:56:27 UTC,,,
0DK25FRBJ6DGBGDWWRVP30BSPW,863,676092,2017-05-15 20:56:37 UTC,,,
0DK25FVD2GNZZ07RKWYCSW3PDQ,858,676092,2017-05-15 20:56:47 UTC,,,
0DK25FYEQC5TX6KDW6NE3T59G6,859,676092,2017-05-15 20:56:57 UTC,,,
0DK25G1GCKKQ0SAHE31C1CP7G9,858,676092,2017-05-15 20:57:07 UTC,,,
0DK25G4J1RV864SFBFNHTVQXHZ,859,676092,2017-05-15 20:57:17 UTC,,,
0DK25G7KPP4QH2JBQAY5TTSYFA,864,676092,2017-05-15 20:57:27 UTC,,,
0DK25GANBAEC1M5Y9YNHE90XJ6,863,676092,2017-05-15 20:57:37 UTC,,,
0DK25GDQ13K99ZZKNETJV8H4HF,866,676092,2017-05-15 20:57:47 UTC,,,
0DK25GGRP0FEKFSER3GYH96SGJ,862,676092,2017-05-15 20:57:57 UTC,,,
0DK25GKTAWHD2VTQ0PEVKJW82C,864,676092,2017-05-15 20:58:07 UTC,,,
0DK25GPVZJPSS7EHV3M5MYY64A,868,676092,2017-05-15 20:58:17 UTC,,,
0DK25GSXMZKP08JEZE4Q04AZ4G,859,676092,2017-05-15 20:58:27 UTC,,,
0DK25GWZ9SHJ3P72FVXAG7PEE4,856,676092,2017-05-15 20:58:37 UTC,,,
0DK25H00YTH935WRAEBDJEQHJM,857,676092,2017-05-15 20:58:47 UTC,,,
